s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,"Platform Length 
(Meters)",Source1,Cost,Currency,Year,PPP rate,Real cost,"Cost/km
 (Millions)",Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,
8200,AE,Dubai,Phase 1,Phase 1 - Red Line,2005,2010,0,35,13.43%,4.7,0,0,29,,Trade,"4,200",USD,2005,1.8,7560,216.0,0,0,0,0,1.649331797,"12,468.9",356.3,,,,
8201,AE,Dubai,Phase 2,Phase 2 - Green Line,2006,2010,0,22.5,35.11%,7.9,0,0,20,,,"3,600",USD,2006,1.9,6840,304.0,0,0,0,0,1.597790179,"10,928.9",485.7,,,,
8202,AE,Dubai,Red Line,Phase 3 (Red Line Extension/Route 2020),2016,2020,0,15,21.33%,3.2,0,0,7,,Trade,"2,900",USD,2016,1.9,5510,367.3,0,0,0,0,1.342104605,"7,395.0",493.0,Media,https://www.railway-technology.com/projects/route-2020-dubai/,,
7593,AR,Buenos Aires,RER,RER,2020,2026,1,20,100.00%,20,0,0,4,,Media,"2,300",USD,2023,2.02,4646,232.3,0,0,0,0,1.057145998,"4,911.5",245.6,Media,https://tn.com.ar/economia/el-gobierno-relanzo-el-rer-el-proyecto-para-conectar-los-trenes-del-area-metropolitana_856411,,
9753,AT,Vienna,va,Lainz Tunnel,1999,2012,1,12.8,100.00%,12.8,0,0,0,,Media,"1,300",EUR,2005,1.25,1625,127.0,0,0,0,0,1.649331797,"2,680.2",209.4,Media,https://wien.orf.at/v2/news/stories/2537074/,,
7360,AT,Vienna,Line 2,Line 2 extension,2010,2013,0,4.2,0.00%,0,2.63,1.57,3,,Media,320,EUR,2012,1.3,416,99.0,0,0,0,0,1.402974381,583.6,139.0,Media,https://wien.orf.at/news/stories/2607445/,,
7361,AT,Vienna,Line 1,Line 1 extension,2012,2017,0,4.7,57.00%,2.7,0.06,2.008,5,,Measured,600,EUR,2015,1.3,780,166.0,0,0,0,0,1.359035428,"1,060.0",225.5,Plan,https://www.wien.gv.at/stadtentwicklung/projekte/verkehrsplanung/u-bahn/u1-oberlaa.html,,
7362,AT,Vienna,U2/U5 cross,U2/U5 cross,2019,2029,0,9,100.00%,9,0,0,11,,Plan,"2,200",EUR,2023,1.3,2860,317.8,0,0,0,0,1.057145998,"3,023.4",335.9,Media,https://wien.orf.at/news/stories/2940360/,,
7280,AU,Melbourne,Metro Tunnel,Metro Tunnel,2018,2025,0,9,100.00%,9,0,0,5,,Plan,"12,584",AUD,2021,0.69,8683.236,964.8,0,0,0,1,1.188745987,"10,322.2","1,146.9",Plan,https://www.audit.vic.gov.au/report/melbourne-metro-tunnel-project-phase-2-main-works?section=,,
7587,AU,Perth,Forrestfield-Airport Link,Forrestfield-Airport Link,2016,2021,1,8.5,100.00%,8.5,0,0,3,,Plan,"1,860",AUD,2018,0.69,1283.4,151.0,0,0,0,1,1.28277786,"1,646.3",193.7,Plan,https://www.forrestfieldairportlink.wa.gov.au/Portals/14/Project%20Overview%20Fact%20Sheet%20-%20Dec18%20WEB.pdf,,
7275,AU,Sydney,Metro NW,Metro NW,2013,2019,0,36,42.00%,15.1,0,0,13,,Wiki,"7,800",AUD,2016,0.69,5382,149.5,0,0,0,1,1.342104605,"7,223.2",200.6,Plan,https://www.transport.nsw.gov.au/news-and-events/media-releases/sydney-metro-northwest-under-budget,,
7274,AU,Sydney,Metro City & SW,Metro City & SW,2017,2024,0,30,51.00%,15.3,0,0,7,,Wiki,"15,500",AUD,2021,0.69,10695,356.5,0,0,0,1,1.188745987,"12,713.6",423.8,Media,https://www.abc.net.au/news/2020-02-21/nsw-government-confirms-three-billion-metro-budget-blowout/11986968,,
7464,BD,Dhaka,Line 6,Line 6,2015,2022,0,21.3,0.00%,0,0,0,16,,Media,"334,720",BDT,2019,0.032,10711.04,502.9,0,0,0,0,1.259947899,"13,495.4",633.6,Media,https://www.thedailystar.net/news/bangladesh/transport/news/metro-now-set-cost-50pc-more-3072816,,
7465,BD,Dhaka,Line 1,Line 1,2020,2026,0,31.2,64.00%,19.9,0,0,19,,Media,"525,610",BDT,2023,0.032,16819.52,539.1,0,0,0,0,1.057145998,"17,780.7",569.9,Media,https://bdnews24.com/economy/2019/10/15/govt-approves-two-more-metro-rail-projects-worth-tk-938bn,,
7466,BD,Dhaka,Line 5,Line 5,2020,2028,0,19.6,70.00%,14,0,0,14,,Media,"412,380",BDT,2024,0.032,13196.16,673.3,0,0,0,0,1,"13,196.2",673.3,Media,https://bdnews24.com/economy/2019/10/15/govt-approves-two-more-metro-rail-projects-worth-tk-938bn,,
7266,BE,Brussels,Line 3,Line 3,2020,2028,0,4.8,100.00%,4.8,0,0,7,,Plan,"2,600",EUR,2024,1.3,3380,704.2,0,0,0,0,1,"3,380.0",704.2,Plan,https://www.thebulletin.be/brussels-metro-line-3-project-could-be-delayed-or-suspended,,
