id,country,city,line,phase,start_year,end_year,rr,length,tunnel_pct,tunnel_km,elevated,atgrade,stations,cost_km_real,real_cost_total
8201,AE,Dubai,Phase 2,Phase 2 - Green Line,2006,2010,0,22.5,35.11,7.9,0,0,20,485.7,10928.9
8202,AE,Dubai,Red Line,Phase 3 (Red Line Extension/Route 2020),2016,2020,0,15,21.33,3.2,0,0,7,493.0,7395.0
7593,AR,Buenos Aires,RER,RER,2020,2026,1,20,100.00,20,0,0,4,245.6,4911.5
9753,AT,Vienna,va,Lainz Tunnel,1999,2012,1,12.8,100.00,12.8,0,0,0,209.4,2680.2
7360,AT,Vienna,Line 2,Line 2 extension,2010,2013,0,4.2,0.00,0,2.63,1.57,3,139.0,583.6
7361,AT,Vienna,Line 1,Line 1 extension,2012,2017,0,4.7,57.00,2.7,0.06,2.008,5,225.5,1060.0
7362,AT,Vienna,U2/U5 cross,U2/U5 cross,2019,2029,0,9,100.00,9,0,0,11,335.9,3023.4
7280,AU,Melbourne,Metro Tunnel,Metro Tunnel,2018,2025,0,9,100.00,9,0,0,5,1146.9,10322.2
7587,AU,Perth,Forrestfield-Airport Link,Forrestfield-Airport Link,2016,2021,1,8.5,100.00,8.5,0,0,3,193.7,1646.3
7275,AU,Sydney,Metro NW,Metro NW,2013,2019,0,36,42.00,15.1,0,0,13,200.6,7223.2
7274,AU,Sydney,Metro City & SW,Metro City & SW,2017,2024,0,30,51.00,15.3,0,0,7,423.8,12713.6
7464,BD,Dhaka,Line 6,Line 6,2015,2022,0,21.3,0.00,0,0,0,16,633.6,13495.4
7465,BD,Dhaka,Line 1,Line 1,2020,2026,0,31.2,64.00,19.9,0,0,19,569.9,17780.7
7466,BD,Dhaka,Line 5,Line 5,2020,2028,0,19.6,70.00,14,0,0,14,673.3,13196.2
7266,BE,Brussels,Line 3,Line 3,2020,2028,0,4.8,100.00,4.8,0,0,7,704.2,3380.0
7170,BG,Sofia,Line 2,Line 2,2008,2012,0,17,90.00,15.3,0,0,11,274.6,4668.9
7169,BG,Sofia,Line 1,Line 1 southern,2013,2015,0,3,100.00,3,0,0,3,66.3,198.8
7171,BG,Sofia,Line 2,Line 2 extension,2012,2016,0,1.3,100.00,1.3,0,0,1,73.0,94.9
7176,BG,Sofia,Line 3,Line 3,2016,2021,0,12,100.00,12,0,0,12,177.5,2129.4
7177,BG,Sofia,Line 3,Line 3 extension (Third Stage),2021,2026,0,3.1,100.00,3.1,0,0,4,143.2,444.0
7168,BG,Sofia,Line 1,Line 1 northern,2009,cond,0,5.1,60.00,3.1,0,0,4,199.2,1016.1
8194,BH,Bahrain,Phase 1,Phase 1 (Red & Blue),2018,2023,1,28.6,0.00,0.0,0,0,20,99.8,2853.8
8195,BH,Bahrain,Phase 2,Phase 2,2020,X,1,72.7,0.00,0.0,0,0,,152.4,11079.1
9754,BR,Rio de Janeiro,Line 4,Line 4,2010,2016,0,16,96.00,15.4,0,0,7,525.2,8402.8
7344,BR,Salvador,Lines 1-2,Lines 1-2,2000,2017,0,33,4.00,1.4,10.935,20.745,20,126.5,4175.3
9755,BR,Salvador,SkyRail Bahia,SkyRail Bahia,2020,2022,0,23.3,0.00,0,0,0,26,80.9,1883.8
7339,BR,Sao Paulo,Line 5,Line 5 extension,2010,2019,0,12,100.00,12,0,0,11,430.3,5163.7
9756,BR,Sao Paulo,Line 17,Line 17,2012,2021,0,7.7,0.00,0,0,0,8,521.2,4012.9
7528,BR,Sao Paulo,Line 6,Line 6 phase 1,2015,2023,0,15.9,84.00,13.4,0,0,15,330.6,5257.2
9761,CA,Calgary,Green Line,Green Line stage 1,2021,2027,0,20,20.00,4,0,0,15,231.0,4620.0
7106,CA,Calgary,Blue Line Extension,Northeast,2027,~,0,1,0.00,0,0,1,1,160.6,160.6
,CA,Edmonton,Valley Line Southeast,Southeast,2016,2023,0,13.1,3.00,0.4,,,12,138.8,1818.9
7104,CA,Edmonton,Metro Line Extension,Northwest Phase 1,2020,2024,0,1.6,0.00,0,0,1.6,2,183.4,293.4
7103,CA,Edmonton,Valley Line Extension,West,2022,2028,0,14,0.00,0,2.1,11.9,14,186.8,2615.2
7116,CA,Hamilton,Hamilton LRT,Phase 1,2025,2029,0,14,0.00,0,0,14,17,242.9,3400.0
7114,CA,Mississauga,Hazel McCallion LRT,Phase 1,2020,2027,0,18,0.05,1,,18,19,273.0,4913.7
7401,CA,Montreal,Laval extension,Laval extension,2001,2007,0,5.2,100.00,5.2,0,0,3,197.9,1029.0
7146,CA,Montreal,Blue Line,Blue Line,2020,2026,0,5.8,100.00,5.8,0,0,5,1411.9,8189.3
7130,CA,Montreal,PSE,Phase 1,2025,2033,0,31,0.00,0,0,31,36/22,612.9,19000.0
7125,CA,Montreal,REM,Current Project Scope,2018,2027,0,67,15.67,10.5,16.3,36.7,24,151.2,10128.8
7117,CA,Ottawa,Confederation,Confederation,2013,2019,0,12.5,20.00,2.5,0.84,9.16,13,187.1,2339.3
7118,CA,Ottawa,Confederation,East West Extensions,2019,2025,0,28,12.14,3.4,0,12,17,93.8,2627.2
7121,CA,Ottawa,Line 2/Line 4,South Extension+Airport Link,2020,2025,0,20,0.00,0,0.5,15.5,13,83.9,1677.4
7400,CA,Toronto,Sheppard,Sheppard,1994,2002,0,5.5,100.00,5.5,0,0,5,291.0,1600.7
7108,CA,Toronto,YUS,Vaughan,2009,2017,0,8.6,100.00,8.6,0,0,6,416.7,3584.0
7283,CA,Toronto,Eglinton Crosstown,Eglinton Crosstown,2011,2025,0,19,53.00,10,0.62,8.31,25,750.4,14258.5
7115,CA,Toronto,Finch West LRT,Phase 1,2019,2025,0,10.3,0.05,1,,17,18,256.9,2645.9
7109,CA,Toronto,Bloor/SSE,Scarborough,2020,2030,0,7.8,100.00,7.8,0,0,3,759.8,5926.4
